pid,ing_avg,outg_avg,ing_c,outg_c,ID_c,cond,story,group,storynum,resptype,rating
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,outgrp,11,howbad,0
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,ingrp,12,howbad,0
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,outgrp,13,howbad,0
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,outgrp,14,howbad,0
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,ingrp,15,howbad,0
5,82,0,10.09075908,-43.14521452,53.5632184,compete,pos,outgrp,16,howbad,0
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,ingrp,1,howbad,0.7
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,outgrp,2,howbad,0.81
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,outgrp,3,howbad,0.62
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,ingrp,4,howbad,0.54
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,outgrp,5,howbad,0.84
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,ingrp,6,howbad,0.65
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,ingrp,7,howbad,0.56
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,neg,outgrp,8,howbad,0.73
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,ingrp,9,howbad,0.2
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,outgrp,10,howbad,0.25
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,ingrp,11,howbad,0.07
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,ingrp,12,howbad,0.27
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,outgrp,13,howbad,0.29
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,outgrp,14,howbad,0.27
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,ingrp,15,howbad,0.22
7,67,36,-4.90924092,-7.14521452,2.5632184,compete,pos,outgrp,16,howbad,0.16
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,ingrp,1,howbad,0.64
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,outgrp,2,howbad,0.77
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,outgrp,3,howbad,0.77
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,outgrp,4,howbad,0.2
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,ingrp,5,howbad,0.74
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,outgrp,6,howbad,0.79
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,ingrp,7,howbad,0.71
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,neg,ingrp,8,howbad,0.87
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,ingrp,9,howbad,0.09
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,outgrp,10,howbad,0
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,ingrp,11,howbad,0.1
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,ingrp,12,howbad,0.02
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,outgrp,13,howbad,0.24
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,outgrp,14,howbad,0.17
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,outgrp,15,howbad,0
10,100,50.66666667,28.09075908,7.521452147,20.89655173,compete,pos,ingrp,16,howbad,0
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,ingrp,1,howbad,0.76
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,ingrp,2,howbad,0.68
11,55.66666667,48.66666667,-16.24257425,5.521452147,-21.4367816,neutral,neg,outgrp,3,howbad,0.66
