ISSN,journal,DOI,year,citations,impact_factor_rank,category
0163-9625,Deviant Behavior,10.1080/01639625.2020.1865116,2022,1,466,"PSYCHOLOGY, SOCIAL"
1040-0419,Creativity Research Journal,10.1080/10400419.2020.1866895,2021,3,253,"PSYCHOLOGY, EDUCATIONAL"
0364-0213,Cognitive Science,10.1111/cogs.12914,2021,13,298,"PSYCHOLOGY, EXPERIMENTAL"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02187-9,2021,8,470,PSYCHOLOGY
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02210-z,2021,4,470,PSYCHOLOGY
0090-502X,Memory &amp; Cognition,10.3758/s13421-020-01119-0,2021,10,320,"PSYCHOLOGY, EXPERIMENTAL"
0090-502X,Memory &amp; Cognition,10.3758/s13421-020-01121-6,2021,2,320,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01444-8,2021,17,324,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01453-7,2021,2,324,"PSYCHOLOGY, EXPERIMENTAL"
0256-2928,European Journal of Psychology of Education,10.1007/s10212-020-00522-0,2021,2,207,"PSYCHOLOGY, EDUCATIONAL"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09596-9,2021,3,473,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01096-0,2022,4,293,"PSYCHOLOGY, DEVELOPMENTAL"
1873-0388,International Journal for Educational and Vocational Guidance,10.1007/s10775-020-09449-w,2021,5,465,"PSYCHOLOGY, APPLIED"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04801-z,2021,39,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04819-3,2021,32,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04820-w,2021,16,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04825-5,2021,1,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04826-4,2021,32,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04849-x,2021,20,152,"PSYCHOLOGY, DEVELOPMENTAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09858-9,2021,3,558,"PSYCHOLOGY, CLINICAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09863-y,2021,3,558,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09484-2,2021,1,502,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09485-1,2021,13,502,"PSYCHOLOGY, CLINICAL"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00338-1,2021,3,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
0922-4777,Reading and Writing,10.1007/s11145-020-10111-8,2021,7,407,"PSYCHOLOGY, EDUCATIONAL"
0922-4777,Reading and Writing,10.1007/s11145-020-10115-4,2021,6,407,"PSYCHOLOGY, EDUCATIONAL"
