file,n_articles,citations_total
../data/raw/102.jsonl.gz,28,0
../data/raw/1020.jsonl.gz,0,0
../data/raw/10200.jsonl.gz,21,95
../data/raw/10201.jsonl.gz,22,272
../data/raw/10202.jsonl.gz,32,167
../data/raw/10203.jsonl.gz,33,262
../data/raw/10204.jsonl.gz,27,646
../data/raw/10205.jsonl.gz,28,453
../data/raw/10206.jsonl.gz,37,566
../data/raw/10207.jsonl.gz,23,298
../data/raw/10208.jsonl.gz,24,280
../data/raw/10209.jsonl.gz,26,134
../data/raw/1021.jsonl.gz,0,0
../data/raw/10210.jsonl.gz,44,497
../data/raw/10211.jsonl.gz,20,156
../data/raw/10212.jsonl.gz,33,264
../data/raw/10213.jsonl.gz,31,355
../data/raw/10214.jsonl.gz,25,277
../data/raw/10215.jsonl.gz,19,284
../data/raw/10216.jsonl.gz,23,171
../data/raw/10217.jsonl.gz,17,106
../data/raw/10218.jsonl.gz,18,161
../data/raw/10219.jsonl.gz,16,141
../data/raw/1022.jsonl.gz,0,0
../data/raw/10220.jsonl.gz,24,332
../data/raw/10221.jsonl.gz,39,338
../data/raw/10222.jsonl.gz,28,272
../data/raw/10223.jsonl.gz,29,238
../data/raw/10224.jsonl.gz,39,241
../data/raw/10225.jsonl.gz,66,624
../data/raw/10226.jsonl.gz,63,605
../data/raw/10227.jsonl.gz,66,590
../data/raw/10228.jsonl.gz,28,142
../data/raw/10229.jsonl.gz,58,520
../data/raw/1023.jsonl.gz,0,0
../data/raw/10230.jsonl.gz,53,650
../data/raw/10231.jsonl.gz,34,307
../data/raw/10232.jsonl.gz,32,256
../data/raw/10233.jsonl.gz,30,398
../data/raw/10234.jsonl.gz,15,210
../data/raw/10235.jsonl.gz,20,220
../data/raw/10236.jsonl.gz,9,37
../data/raw/10237.jsonl.gz,25,541
../data/raw/10238.jsonl.gz,39,346
../data/raw/10239.jsonl.gz,34,260
../data/raw/1024.jsonl.gz,0,0
../data/raw/10240.jsonl.gz,44,569
../data/raw/10241.jsonl.gz,32,280
../data/raw/10242.jsonl.gz,35,153
../data/raw/10243.jsonl.gz,31,358
../data/raw/10244.jsonl.gz,26,193
../data/raw/10245.jsonl.gz,32,587
../data/raw/10246.jsonl.gz,50,711
../data/raw/10247.jsonl.gz,34,349
../data/raw/10248.jsonl.gz,31,481
../data/raw/10249.jsonl.gz,51,459
../data/raw/1025.jsonl.gz,0,0
../data/raw/10250.jsonl.gz,41,737
../data/raw/10251.jsonl.gz,47,632
../data/raw/10252.jsonl.gz,48,510
../data/raw/10253.jsonl.gz,31,123
../data/raw/10254.jsonl.gz,46,879
../data/raw/10255.jsonl.gz,28,282
../data/raw/10256.jsonl.gz,25,268
../data/raw/10257.jsonl.gz,34,326
../data/raw/10258.jsonl.gz,61,606
../data/raw/10259.jsonl.gz,47,296
../data/raw/1026.jsonl.gz,0,0
../data/raw/10260.jsonl.gz,29,137
../data/raw/10261.jsonl.gz,29,252
../data/raw/10262.jsonl.gz,23,254
../data/raw/10263.jsonl.gz,17,284
../data/raw/10264.jsonl.gz,16,52
../data/raw/10265.jsonl.gz,5,14
../data/raw/10266.jsonl.gz,20,196
../data/raw/10267.jsonl.gz,16,501
../data/raw/10268.jsonl.gz,17,149
../data/raw/10269.jsonl.gz,9,56
../data/raw/1027.jsonl.gz,0,0
../data/raw/10270.jsonl.gz,24,120
../data/raw/10271.jsonl.gz,14,99
../data/raw/10272.jsonl.gz,27,322
../data/raw/10273.jsonl.gz,16,102
../data/raw/10274.jsonl.gz,15,262
../data/raw/10275.jsonl.gz,11,42
../data/raw/10276.jsonl.gz,12,215
../data/raw/10277.jsonl.gz,13,179
../data/raw/10278.jsonl.gz,7,84
../data/raw/10279.jsonl.gz,9,61
../data/raw/1028.jsonl.gz,0,0
../data/raw/10280.jsonl.gz,15,73
../data/raw/10281.jsonl.gz,14,121
../data/raw/10282.jsonl.gz,13,236
../data/raw/10283.jsonl.gz,15,130
../data/raw/10284.jsonl.gz,16,85
../data/raw/10285.jsonl.gz,12,45
../data/raw/10286.jsonl.gz,18,126
../data/raw/10287.jsonl.gz,36,561
../data/raw/10288.jsonl.gz,35,361
../data/raw/10289.jsonl.gz,37,428
../data/raw/1029.jsonl.gz,0,0
../data/raw/10290.jsonl.gz,27,103
../data/raw/10291.jsonl.gz,32,470
../data/raw/10292.jsonl.gz,19,385
../data/raw/10293.jsonl.gz,21,112
../data/raw/10294.jsonl.gz,33,235
../data/raw/10295.jsonl.gz,43,624
../data/raw/10296.jsonl.gz,33,245
../data/raw/10297.jsonl.gz,24,167
../data/raw/10298.jsonl.gz,36,316
../data/raw/10299.jsonl.gz,27,379
../data/raw/103.jsonl.gz,16,0
../data/raw/1030.jsonl.gz,0,0
../data/raw/10300.jsonl.gz,6,5
../data/raw/10301.jsonl.gz,18,219
../data/raw/10302.jsonl.gz,25,234
../data/raw/10303.jsonl.gz,31,440
../data/raw/10304.jsonl.gz,24,140
../data/raw/10305.jsonl.gz,12,105
../data/raw/10306.jsonl.gz,14,140
../data/raw/10307.jsonl.gz,25,299
../data/raw/10308.jsonl.gz,36,450
../data/raw/10309.jsonl.gz,34,332
../data/raw/1031.jsonl.gz,0,0
../data/raw/10310.jsonl.gz,26,216
../data/raw/10311.jsonl.gz,35,280
../data/raw/10312.jsonl.gz,37,417
../data/raw/10313.jsonl.gz,34,291
../data/raw/10314.jsonl.gz,35,365
../data/raw/10315.jsonl.gz,35,174
../data/raw/10316.jsonl.gz,20,151
../data/raw/10317.jsonl.gz,11,44
../data/raw/10318.jsonl.gz,35,412
../data/raw/10319.jsonl.gz,43,320
../data/raw/1032.jsonl.gz,0,0
../data/raw/10320.jsonl.gz,31,459
../data/raw/10321.jsonl.gz,31,240
../data/raw/10322.jsonl.gz,28,196
../data/raw/10323.jsonl.gz,55,1313
../data/raw/10324.jsonl.gz,64,842
../data/raw/10325.jsonl.gz,28,309
../data/raw/10326.jsonl.gz,52,528
../data/raw/10327.jsonl.gz,36,257
../data/raw/10328.jsonl.gz,33,143
../data/raw/10329.jsonl.gz,49,435
../data/raw/1033.jsonl.gz,0,0
../data/raw/10330.jsonl.gz,30,529
../data/raw/10331.jsonl.gz,38,532
../data/raw/10332.jsonl.gz,46,377
../data/raw/10333.jsonl.gz,44,655
../data/raw/10334.jsonl.gz,45,728
../data/raw/10335.jsonl.gz,44,441
../data/raw/10336.jsonl.gz,34,304
../data/raw/10337.jsonl.gz,41,538
../data/raw/10338.jsonl.gz,27,262
../data/raw/10339.jsonl.gz,16,119
../data/raw/1034.jsonl.gz,0,0
../data/raw/10340.jsonl.gz,38,522
../data/raw/10341.jsonl.gz,53,1268
../data/raw/10342.jsonl.gz,19,178
../data/raw/10343.jsonl.gz,34,508
../data/raw/10344.jsonl.gz,19,266
../data/raw/10345.jsonl.gz,26,143
../data/raw/10346.jsonl.gz,22,179
