pid,ing_c,outg_c,ID_c,cond,story,group,storynum,resptype,rating
9,-0.044666633,0.09593519,-0.132264843,seg,pos,ingrp,1,howbad,0.072
9,-0.044666633,0.09593519,-0.132264843,seg,pos,ingrp,2,howbad,0.136
9,-0.044666633,0.09593519,-0.132264843,seg,pos,ingrp,3,howbad,0.154
9,-0.044666633,0.09593519,-0.132264843,seg,neg,ingrp,4,howbad,0.82
9,-0.044666633,0.09593519,-0.132264843,seg,pos,ingrp,5,howbad,0.17
9,-0.044666633,0.09593519,-0.132264843,seg,neg,ingrp,6,howbad,0.702
9,-0.044666633,0.09593519,-0.132264843,seg,neg,ingrp,7,howbad,0.656
9,-0.044666633,0.09593519,-0.132264843,seg,neg,ingrp,8,howbad,0.964
9,-0.044666633,0.09593519,-0.132264843,seg,neg,outgrp,9,howbad,0.562
9,-0.044666633,0.09593519,-0.132264843,seg,pos,outgrp,10,howbad,0.37
9,-0.044666633,0.09593519,-0.132264843,seg,neg,outgrp,11,howbad,0.546
9,-0.044666633,0.09593519,-0.132264843,seg,pos,outgrp,12,howbad,0.432
9,-0.044666633,0.09593519,-0.132264843,seg,neg,outgrp,13,howbad,0.63
9,-0.044666633,0.09593519,-0.132264843,seg,pos,outgrp,14,howbad,0.414
9,-0.044666633,0.09593519,-0.132264843,seg,pos,outgrp,15,howbad,0.402
9,-0.044666633,0.09593519,-0.132264843,seg,neg,outgrp,16,howbad,0.6
10,-0.159999967,0.113268523,-0.26493151,integ,neg,ingrp,1,howbad,0.524
10,-0.159999967,0.113268523,-0.26493151,integ,pos,ingrp,2,howbad,0.23
10,-0.159999967,0.113268523,-0.26493151,integ,pos,ingrp,3,howbad,0
10,-0.159999967,0.113268523,-0.26493151,integ,neg,ingrp,4,howbad,0.722
10,-0.159999967,0.113268523,-0.26493151,integ,neg,ingrp,5,howbad,0.616
10,-0.159999967,0.113268523,-0.26493151,integ,pos,ingrp,6,howbad,0.02
10,-0.159999967,0.113268523,-0.26493151,integ,pos,ingrp,7,howbad,0
10,-0.159999967,0.113268523,-0.26493151,integ,neg,ingrp,8,howbad,0.56
10,-0.159999967,0.113268523,-0.26493151,integ,pos,outgrp,9,howbad,0
10,-0.159999967,0.113268523,-0.26493151,integ,pos,outgrp,10,howbad,0.164
10,-0.159999967,0.113268523,-0.26493151,integ,pos,outgrp,11,howbad,0
10,-0.159999967,0.113268523,-0.26493151,integ,neg,outgrp,12,howbad,0.336
10,-0.159999967,0.113268523,-0.26493151,integ,pos,outgrp,13,howbad,0
10,-0.159999967,0.113268523,-0.26493151,integ,neg,outgrp,14,howbad,0.59
10,-0.159999967,0.113268523,-0.26493151,integ,neg,outgrp,15,howbad,0.682
10,-0.159999967,0.113268523,-0.26493151,integ,neg,outgrp,16,howbad,0.664
11,-0.207999967,-0.203398143,0.003735157,integ,pos,ingrp,1,howbad,0.288
11,-0.207999967,-0.203398143,0.003735157,integ,pos,ingrp,2,howbad,0.148
11,-0.207999967,-0.203398143,0.003735157,integ,neg,ingrp,3,howbad,0.258
11,-0.207999967,-0.203398143,0.003735157,integ,pos,ingrp,4,howbad,0
11,-0.207999967,-0.203398143,0.003735157,integ,neg,ingrp,5,howbad,0.716
11,-0.207999967,-0.203398143,0.003735157,integ,neg,ingrp,6,howbad,0.726
11,-0.207999967,-0.203398143,0.003735157,integ,neg,ingrp,7,howbad,0.682
11,-0.207999967,-0.203398143,0.003735157,integ,pos,ingrp,8,howbad,0
11,-0.207999967,-0.203398143,0.003735157,integ,neg,outgrp,9,howbad,0.174
11,-0.207999967,-0.203398143,0.003735157,integ,pos,outgrp,10,howbad,0
11,-0.207999967,-0.203398143,0.003735157,integ,pos,outgrp,11,howbad,0.436
11,-0.207999967,-0.203398143,0.003735157,integ,neg,outgrp,12,howbad,0.614
11,-0.207999967,-0.203398143,0.003735157,integ,pos,outgrp,13,howbad,0.048
11,-0.207999967,-0.203398143,0.003735157,integ,neg,outgrp,14,howbad,0.692
11,-0.207999967,-0.203398143,0.003735157,integ,pos,outgrp,15,howbad,0
11,-0.207999967,-0.203398143,0.003735157,integ,neg,outgrp,16,howbad,0.644
12,-0.178666633,0.187268523,-0.357598177,seg,pos,ingrp,1,howbad,0.49
12,-0.178666633,0.187268523,-0.357598177,seg,pos,ingrp,2,howbad,0.466
12,-0.178666633,0.187268523,-0.357598177,seg,pos,ingrp,3,howbad,0.442
12,-0.178666633,0.187268523,-0.357598177,seg,pos,ingrp,4,howbad,0.472
12,-0.178666633,0.187268523,-0.357598177,seg,neg,ingrp,5,howbad,0.548
12,-0.178666633,0.187268523,-0.357598177,seg,neg,ingrp,6,howbad,0.54
12,-0.178666633,0.187268523,-0.357598177,seg,neg,ingrp,7,howbad,0.532
12,-0.178666633,0.187268523,-0.357598177,seg,neg,ingrp,8,howbad,0.52
12,-0.178666633,0.187268523,-0.357598177,seg,neg,outgrp,9,howbad,0.55
12,-0.178666633,0.187268523,-0.357598177,seg,neg,outgrp,10,howbad,0.52
12,-0.178666633,0.187268523,-0.357598177,seg,pos,outgrp,11,howbad,0.454
12,-0.178666633,0.187268523,-0.357598177,seg,pos,outgrp,12,howbad,0.454
12,-0.178666633,0.187268523,-0.357598177,seg,neg,outgrp,13,howbad,0.562
12,-0.178666633,0.187268523,-0.357598177,seg,neg,outgrp,14,howbad,0.542
12,-0.178666633,0.187268523,-0.357598177,seg,pos,outgrp,15,howbad,0.474
