journal_name,category,rank,source,issn_type,issn
european journal of psychological assessment,"PSYCHOLOGY, APPLIED",200,psych1,issn,1015-5759
european journal of psychological assessment,"PSYCHOLOGY, APPLIED",200,psych1,e_issn,2151-2426
clinical psychology & psychotherapy,"PSYCHOLOGY, CLINICAL",201,psych1,issn,1063-3995
clinical psychology & psychotherapy,"PSYCHOLOGY, CLINICAL",201,psych1,e_issn,1099-0879
journal of happiness studies,"PSYCHOLOGY, MULTIDISCIPLINARY",205,psych1,issn,1389-4978
journal of happiness studies,"PSYCHOLOGY, MULTIDISCIPLINARY",205,psych1,e_issn,1573-7780
development and psychopathology,"PSYCHOLOGY, DEVELOPMENTAL",206,psych1,issn,0954-5794
development and psychopathology,"PSYCHOLOGY, DEVELOPMENTAL",206,psych1,e_issn,1469-2198
british journal of educational psychology,"PSYCHOLOGY, EDUCATIONAL",207,psych1,issn,0007-0998
british journal of educational psychology,"PSYCHOLOGY, EDUCATIONAL",207,psych1,e_issn,2044-8279
collabra-psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",208,psych1,issn,2474-7394
collabra-psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",208,psych1,e_issn,2474-7394
journal of psychopathology and clinical science,"PSYCHOLOGY, CLINICAL",209,psych1,issn,2769-7541
journal of psychopathology and clinical science,"PSYCHOLOGY, CLINICAL",209,psych1,e_issn,2769-755X
developmental psychology,"PSYCHOLOGY, DEVELOPMENTAL",210,psych1,issn,0012-1649
developmental psychology,"PSYCHOLOGY, DEVELOPMENTAL",210,psych1,e_issn,1939-0599
developmental science,"PSYCHOLOGY, DEVELOPMENTAL",211,psych1,issn,1363-755X
developmental science,"PSYCHOLOGY, DEVELOPMENTAL",211,psych1,e_issn,1467-7687
health psychology,PSYCHOLOGY,213,psych1,issn,0278-6133
health psychology,PSYCHOLOGY,213,psych1,e_issn,1930-7810
psychology of sport and exercise,PSYCHOLOGY,215,psych1,issn,1469-0292
psychology of sport and exercise,PSYCHOLOGY,215,psych1,e_issn,1878-5476
journal of autism and developmental disorders,"PSYCHOLOGY, DEVELOPMENTAL",217,psych1,issn,0162-3257
journal of autism and developmental disorders,"PSYCHOLOGY, DEVELOPMENTAL",217,psych1,e_issn,1573-3432
stress and health,PSYCHOLOGY,218,psych1,issn,1532-3005
stress and health,PSYCHOLOGY,218,psych1,e_issn,1532-2998
journal of cognitive neuroscience,"PSYCHOLOGY, EXPERIMENTAL",220,psych1,issn,0898-929X
journal of cognitive neuroscience,"PSYCHOLOGY, EXPERIMENTAL",220,psych1,e_issn,1530-8898
applied ergonomics,"PSYCHOLOGY, APPLIED",221,psych1,issn,0003-6870
applied ergonomics,"PSYCHOLOGY, APPLIED",221,psych1,e_issn,1872-9126
mindfulness,"PSYCHOLOGY, CLINICAL",222,psych1,issn,1868-8527
mindfulness,"PSYCHOLOGY, CLINICAL",222,psych1,e_issn,1868-8535
journal of managerial psychology,"PSYCHOLOGY, APPLIED",223,psych1,issn,0268-3946
journal of managerial psychology,"PSYCHOLOGY, APPLIED",223,psych1,e_issn,1758-7778
organizational dynamics,"PSYCHOLOGY, APPLIED",224,psych1,issn,0090-2616
organizational dynamics,"PSYCHOLOGY, APPLIED",224,psych1,e_issn,1873-3530
research in organizational behavior,"PSYCHOLOGY, APPLIED",225,psych1,issn,0191-3085
research in organizational behavior,"PSYCHOLOGY, APPLIED",225,psych1,e_issn,0191-3085
gifted child quarterly,"PSYCHOLOGY, EDUCATIONAL",226,psych1,issn,0016-9862
gifted child quarterly,"PSYCHOLOGY, EDUCATIONAL",226,psych1,e_issn,1934-9041
journal of the learning sciences,"PSYCHOLOGY, EDUCATIONAL",227,psych1,issn,1050-8406
journal of the learning sciences,"PSYCHOLOGY, EDUCATIONAL",227,psych1,e_issn,1532-7809
evolution and human behavior,"PSYCHOLOGY, BIOLOGICAL",228,psych1,issn,1090-5138
evolution and human behavior,"PSYCHOLOGY, BIOLOGICAL",228,psych1,e_issn,1879-0607
research on language and social interaction,"PSYCHOLOGY, SOCIAL",229,psych1,issn,0835-1813
research on language and social interaction,"PSYCHOLOGY, SOCIAL",229,psych1,e_issn,1532-7973
sex roles,"PSYCHOLOGY, DEVELOPMENTAL",230,psych1,issn,0360-0025
sex roles,"PSYCHOLOGY, DEVELOPMENTAL",230,psych1,e_issn,1573-2762
clinical neuropsychologist,PSYCHOLOGY,232,psych1,issn,1385-4046
clinical neuropsychologist,PSYCHOLOGY,232,psych1,e_issn,1744-4144
personality disorders-theory research and treatment,"PSYCHOLOGY, CLINICAL",235,psych1,issn,1949-2715
personality disorders-theory research and treatment,"PSYCHOLOGY, CLINICAL",235,psych1,e_issn,1949-2723
journal of adolescence,"PSYCHOLOGY, DEVELOPMENTAL",236,psych1,issn,0140-1971
journal of adolescence,"PSYCHOLOGY, DEVELOPMENTAL",236,psych1,e_issn,1095-9254
cognitive psychology,PSYCHOLOGY,237,psych1,issn,0010-0285
cognitive psychology,PSYCHOLOGY,237,psych1,e_issn,1095-5623
motivation science,"PSYCHOLOGY, MULTIDISCIPLINARY",239,psych1,issn,2333-8113
motivation science,"PSYCHOLOGY, MULTIDISCIPLINARY",239,psych1,e_issn,2333-8121
european journal of investigation in health psychology and education,"PSYCHOLOGY, CLINICAL",240,psych1,e_issn,2254-9625
eating disorders,PSYCHOLOGY,241,psych1,issn,1064-0266
eating disorders,PSYCHOLOGY,241,psych1,e_issn,1532-530X
small group research,"PSYCHOLOGY, APPLIED",243,psych1,issn,1046-4964
small group research,"PSYCHOLOGY, APPLIED",243,psych1,e_issn,1552-8278
journal of memory and language,PSYCHOLOGY,245,psych1,issn,0749-596X
journal of memory and language,PSYCHOLOGY,245,psych1,e_issn,1096-0821
archives of sexual behavior,"PSYCHOLOGY, CLINICAL",247,psych1,issn,0004-0002
archives of sexual behavior,"PSYCHOLOGY, CLINICAL",247,psych1,e_issn,1573-2800
scientific studies of reading,"PSYCHOLOGY, EDUCATIONAL",248,psych1,issn,1088-8438
scientific studies of reading,"PSYCHOLOGY, EDUCATIONAL",248,psych1,e_issn,1532-799X
canadian psychology-psychologie canadienne,"PSYCHOLOGY, MULTIDISCIPLINARY",249,psych1,issn,0708-5591
canadian psychology-psychologie canadienne,"PSYCHOLOGY, MULTIDISCIPLINARY",249,psych1,e_issn,1878-7304
journal of applied research in memory and cognition,"PSYCHOLOGY, EXPERIMENTAL",250,psych1,issn,2211-3681
journal of applied research in memory and cognition,"PSYCHOLOGY, EXPERIMENTAL",250,psych1,e_issn,2211-369X
topics in cognitive science,"PSYCHOLOGY, EXPERIMENTAL",251,psych1,issn,1756-8757
topics in cognitive science,"PSYCHOLOGY, EXPERIMENTAL",251,psych1,e_issn,1756-8765
psychometrika,"PSYCHOLOGY, MATHEMATICAL",252,psych1,issn,0033-3123
psychometrika,"PSYCHOLOGY, MATHEMATICAL",252,psych1,e_issn,1860-0980
psychophysiology,PSYCHOLOGY,253,psych1,issn,0048-5772
psychophysiology,PSYCHOLOGY,253,psych1,e_issn,1469-8986
research on child and adolescent psychopathology,"PSYCHOLOGY, CLINICAL",256,psych1,issn,2730-7166
research on child and adolescent psychopathology,"PSYCHOLOGY, CLINICAL",256,psych1,e_issn,2730-7174
performance enhancement & health,"PSYCHOLOGY, APPLIED",258,psych1,issn,2211-2669
performance enhancement & health,"PSYCHOLOGY, APPLIED",258,psych1,e_issn,2211-2669
psychosomatic medicine,PSYCHOLOGY,259,psych1,issn,0033-3174
psychosomatic medicine,PSYCHOLOGY,259,psych1,e_issn,1534-7796
journal of applied behavior analysis,"PSYCHOLOGY, CLINICAL",261,psych1,issn,0021-8855
journal of applied behavior analysis,"PSYCHOLOGY, CLINICAL",261,psych1,e_issn,1938-3703
cognitive and behavioral practice,"PSYCHOLOGY, CLINICAL",262,psych1,issn,1077-7229
cognitive and behavioral practice,"PSYCHOLOGY, CLINICAL",262,psych1,e_issn,1878-187X
human factors,PSYCHOLOGY,263,psych1,issn,0018-7208
human factors,PSYCHOLOGY,263,psych1,e_issn,1547-8181
cognitive therapy and research,"PSYCHOLOGY, CLINICAL",265,psych1,issn,0147-5916
cognitive therapy and research,"PSYCHOLOGY, CLINICAL",265,psych1,e_issn,1573-2819
human performance,"PSYCHOLOGY, APPLIED",266,psych1,issn,0895-9285
human performance,"PSYCHOLOGY, APPLIED",266,psych1,e_issn,1532-7043
journal of mental health,"PSYCHOLOGY, CLINICAL",267,psych1,issn,0963-8237
journal of mental health,"PSYCHOLOGY, CLINICAL",267,psych1,e_issn,1360-0567
journal of experimental education,"PSYCHOLOGY, EDUCATIONAL",268,psych1,issn,0022-0973
journal of experimental education,"PSYCHOLOGY, EDUCATIONAL",268,psych1,e_issn,1940-0683
spanish journal of psychology,PSYCHOLOGY,269,psych1,issn,1138-7416
spanish journal of psychology,PSYCHOLOGY,269,psych1,e_issn,1988-2904
journal of creative behavior,"PSYCHOLOGY, EDUCATIONAL",272,psych1,issn,0022-0175
journal of creative behavior,"PSYCHOLOGY, EDUCATIONAL",272,psych1,e_issn,2162-6057
european journal of social psychology,"PSYCHOLOGY, SOCIAL",273,psych1,issn,0046-2772
european journal of social psychology,"PSYCHOLOGY, SOCIAL",273,psych1,e_issn,1099-0992
psychology research and behavior management,"PSYCHOLOGY, CLINICAL",274,psych1,issn,1179-1578
psychology research and behavior management,"PSYCHOLOGY, CLINICAL",274,psych1,e_issn,1179-1578
cognition,"PSYCHOLOGY, EXPERIMENTAL",276,psych1,issn,0010-0277
cognition,"PSYCHOLOGY, EXPERIMENTAL",276,psych1,e_issn,1873-7838
journal of intelligence,"PSYCHOLOGY, MULTIDISCIPLINARY",277,psych1,e_issn,2079-3200
journal of career assessment,"PSYCHOLOGY, APPLIED",278,psych1,issn,1069-0727
journal of career assessment,"PSYCHOLOGY, APPLIED",278,psych1,e_issn,1552-4590
journal of behavioral medicine,"PSYCHOLOGY, CLINICAL",279,psych1,issn,0160-7715
journal of behavioral medicine,"PSYCHOLOGY, CLINICAL",279,psych1,e_issn,1573-3521
biological psychology,PSYCHOLOGY,280,psych1,issn,0301-0511
biological psychology,PSYCHOLOGY,280,psych1,e_issn,1873-6246
journal of personality assessment,"PSYCHOLOGY, CLINICAL",283,psych1,issn,0022-3891
journal of personality assessment,"PSYCHOLOGY, CLINICAL",283,psych1,e_issn,1532-7752
journal of pacific rim psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",285,psych1,issn,1834-4909
journal of pacific rim psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",285,psych1,e_issn,1834-4909
infant and child development,"PSYCHOLOGY, DEVELOPMENTAL",286,psych1,issn,1522-7227
infant and child development,"PSYCHOLOGY, DEVELOPMENTAL",286,psych1,e_issn,1522-7219
psychology of aesthetics creativity and the arts,"PSYCHOLOGY, EXPERIMENTAL",287,psych1,issn,1931-3896
psychology of aesthetics creativity and the arts,"PSYCHOLOGY, EXPERIMENTAL",287,psych1,e_issn,1931-390X
psychological trauma-theory research practice and policy,"PSYCHOLOGY, CLINICAL",288,psych1,issn,1942-9681
psychological trauma-theory research practice and policy,"PSYCHOLOGY, CLINICAL",288,psych1,e_issn,1942-969X
journal of sex research,"PSYCHOLOGY, CLINICAL",289,psych1,issn,0022-4499
journal of sex research,"PSYCHOLOGY, CLINICAL",289,psych1,e_issn,1559-8519
journal of family violence,"PSYCHOLOGY, CLINICAL",290,psych1,issn,0885-7482
journal of family violence,"PSYCHOLOGY, CLINICAL",290,psych1,e_issn,1573-2851
european journal of psychology of education,"PSYCHOLOGY, EDUCATIONAL",291,psych1,issn,0256-2928
european journal of psychology of education,"PSYCHOLOGY, EDUCATIONAL",291,psych1,e_issn,1878-5174
bmc psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",292,psych1,e_issn,2050-7283
work aging and retirement,"PSYCHOLOGY, APPLIED",293,psych1,issn,2054-4642
work aging and retirement,"PSYCHOLOGY, APPLIED",293,psych1,e_issn,2054-4650
psychological injury & law,"PSYCHOLOGY, CLINICAL",294,psych1,issn,1938-971X
psychological injury & law,"PSYCHOLOGY, CLINICAL",294,psych1,e_issn,1938-9728
journal of experimental psychology-applied,"PSYCHOLOGY, APPLIED",295,psych1,issn,1076-898X
journal of experimental psychology-applied,"PSYCHOLOGY, APPLIED",295,psych1,e_issn,1939-2192
aggressive behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",296,psych1,issn,0096-140X
aggressive behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",296,psych1,e_issn,1098-2337
educational measurement-issues and practice,"PSYCHOLOGY, EDUCATIONAL",297,psych1,issn,0731-1745
educational measurement-issues and practice,"PSYCHOLOGY, EDUCATIONAL",297,psych1,e_issn,1745-3992
journal of applied sport psychology,PSYCHOLOGY,298,psych1,issn,1041-3200
journal of applied sport psychology,PSYCHOLOGY,298,psych1,e_issn,1533-1571
journal of pediatric psychology,"PSYCHOLOGY, DEVELOPMENTAL",300,psych1,issn,0146-8693
journal of pediatric psychology,"PSYCHOLOGY, DEVELOPMENTAL",300,psych1,e_issn,1465-735X
suicide and life-threatening behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",301,psych1,issn,0363-0234
suicide and life-threatening behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",301,psych1,e_issn,1943-278X
journal of attention disorders,"PSYCHOLOGY, DEVELOPMENTAL",302,psych1,issn,1087-0547
journal of attention disorders,"PSYCHOLOGY, DEVELOPMENTAL",302,psych1,e_issn,1557-1246
psychology of men & masculinities,"PSYCHOLOGY, SOCIAL",303,psych1,issn,1524-9220
psychology of men & masculinities,"PSYCHOLOGY, SOCIAL",303,psych1,e_issn,1939-151X
stigma and health,"PSYCHOLOGY, SOCIAL",304,psych1,issn,2376-6972
stigma and health,"PSYCHOLOGY, SOCIAL",304,psych1,e_issn,2376-6964
american journal of drug and alcohol abuse,"PSYCHOLOGY, CLINICAL",305,psych1,issn,0095-2990
american journal of drug and alcohol abuse,"PSYCHOLOGY, CLINICAL",305,psych1,e_issn,1097-9891
journal of community & applied social psychology,"PSYCHOLOGY, SOCIAL",306,psych1,issn,1052-9284
journal of community & applied social psychology,"PSYCHOLOGY, SOCIAL",306,psych1,e_issn,1099-1298
journal of the academy of consultation-liaison psychiatry,PSYCHOLOGY,307,psych1,issn,2667-2960
journal of the academy of consultation-liaison psychiatry,PSYCHOLOGY,307,psych1,e_issn,2667-2960
psychologica belgica,"PSYCHOLOGY, MULTIDISCIPLINARY",308,psych1,issn,0033-2879
psychologica belgica,"PSYCHOLOGY, MULTIDISCIPLINARY",308,psych1,e_issn,0033-2879
studies in educational evaluation,"PSYCHOLOGY, EDUCATIONAL",309,psych1,issn,0191-491X
instructional science,"PSYCHOLOGY, EDUCATIONAL",310,psych1,issn,0020-4277
instructional science,"PSYCHOLOGY, EDUCATIONAL",310,psych1,e_issn,1573-1952
family process,"PSYCHOLOGY, CLINICAL",311,psych1,issn,0014-7370
family process,"PSYCHOLOGY, CLINICAL",311,psych1,e_issn,1545-5300
journal of interpersonal violence,"PSYCHOLOGY, APPLIED",312,psych1,issn,0886-2605
journal of interpersonal violence,"PSYCHOLOGY, APPLIED",312,psych1,e_issn,1552-6518
frontiers in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",313,psych1,issn,1664-1078
frontiers in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",313,psych1,e_issn,1664-1078
emerging adulthood,"PSYCHOLOGY, DEVELOPMENTAL",314,psych1,issn,2167-6968
emerging adulthood,"PSYCHOLOGY, DEVELOPMENTAL",314,psych1,e_issn,2167-6984
journal of research in personality,"PSYCHOLOGY, SOCIAL",316,psych1,issn,0092-6566
journal of research in personality,"PSYCHOLOGY, SOCIAL",316,psych1,e_issn,1095-7251
psychotherapy,"PSYCHOLOGY, CLINICAL",317,psych1,issn,0033-3204
psychotherapy,"PSYCHOLOGY, CLINICAL",317,psych1,e_issn,1939-1536
psychotherapy research,"PSYCHOLOGY, CLINICAL",318,psych1,issn,1050-3307
psychotherapy research,"PSYCHOLOGY, CLINICAL",318,psych1,e_issn,1468-4381
journal of the international neuropsychological society,PSYCHOLOGY,319,psych1,issn,1355-6177
journal of the international neuropsychological society,PSYCHOLOGY,319,psych1,e_issn,1469-7661
behavior genetics,"PSYCHOLOGY, MULTIDISCIPLINARY",320,psych1,issn,0001-8244
behavior genetics,"PSYCHOLOGY, MULTIDISCIPLINARY",320,psych1,e_issn,1573-3297
psychology and psychotherapy-theory research and practice,PSYCHOLOGY,321,psych1,issn,1476-0835
psychology and psychotherapy-theory research and practice,PSYCHOLOGY,321,psych1,e_issn,2044-8341
journal of career development,"PSYCHOLOGY, APPLIED",323,psych1,issn,0894-8453
journal of career development,"PSYCHOLOGY, APPLIED",323,psych1,e_issn,1556-0856
neuropsychology,PSYCHOLOGY,324,psych1,issn,0894-4105
neuropsychology,PSYCHOLOGY,324,psych1,e_issn,1931-1559
british journal of developmental psychology,"PSYCHOLOGY, DEVELOPMENTAL",326,psych1,issn,0261-510X
british journal of developmental psychology,"PSYCHOLOGY, DEVELOPMENTAL",326,psych1,e_issn,2044-835X
cognition & emotion,"PSYCHOLOGY, EXPERIMENTAL",327,psych1,issn,0269-9931
cognition & emotion,"PSYCHOLOGY, EXPERIMENTAL",327,psych1,e_issn,1464-0600
sport exercise and performance psychology,"PSYCHOLOGY, APPLIED",328,psych1,issn,2157-3905
sport exercise and performance psychology,"PSYCHOLOGY, APPLIED",328,psych1,e_issn,2157-3913
international journal of selection and assessment,"PSYCHOLOGY, APPLIED",329,psych1,issn,0965-075X
international journal of selection and assessment,"PSYCHOLOGY, APPLIED",329,psych1,e_issn,1468-2389
cognitive neuropsychology,PSYCHOLOGY,330,psych1,issn,0264-3294
cognitive neuropsychology,PSYCHOLOGY,330,psych1,e_issn,1464-0627
bilingualism-language and cognition,"PSYCHOLOGY, EXPERIMENTAL",332,psych1,issn,1366-7289
bilingualism-language and cognition,"PSYCHOLOGY, EXPERIMENTAL",332,psych1,e_issn,1469-1841
psychology of women quarterly,"PSYCHOLOGY, MULTIDISCIPLINARY",333,psych1,issn,0361-6843
psychology of women quarterly,"PSYCHOLOGY, MULTIDISCIPLINARY",333,psych1,e_issn,1471-6402
autism & developmental language impairments,"PSYCHOLOGY, DEVELOPMENTAL",334,psych1,issn,2396-9415
autism & developmental language impairments,"PSYCHOLOGY, DEVELOPMENTAL",334,psych1,e_issn,2396-9415
journal of black psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",335,psych1,issn,0095-7984
journal of black psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",335,psych1,e_issn,1552-4558
journal of diversity in higher education,"PSYCHOLOGY, EDUCATIONAL",336,psych1,issn,1938-8926
journal of diversity in higher education,"PSYCHOLOGY, EDUCATIONAL",336,psych1,e_issn,1938-8934
journal of loss & trauma,"PSYCHOLOGY, SOCIAL",338,psych1,issn,1532-5024
journal of loss & trauma,"PSYCHOLOGY, SOCIAL",338,psych1,e_issn,1532-5032
journal of economic psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",339,psych1,issn,0167-4870
journal of economic psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",339,psych1,e_issn,1872-7719
current psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",340,psych1,issn,1046-1310
current psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",340,psych1,e_issn,1936-4733
behavioral sciences,"PSYCHOLOGY, MULTIDISCIPLINARY",341,psych1,e_issn,2076-328X
school mental health,"PSYCHOLOGY, DEVELOPMENTAL",342,psych1,issn,1866-2625
school mental health,"PSYCHOLOGY, DEVELOPMENTAL",342,psych1,e_issn,1866-2633
creativity research journal,"PSYCHOLOGY, EDUCATIONAL",344,psych1,issn,1040-0419
creativity research journal,"PSYCHOLOGY, EDUCATIONAL",344,psych1,e_issn,1532-6934
journal of health psychology,"PSYCHOLOGY, CLINICAL",346,psych1,issn,1359-1053
journal of health psychology,"PSYCHOLOGY, CLINICAL",346,psych1,e_issn,1461-7277
thinking & reasoning,"PSYCHOLOGY, EXPERIMENTAL",347,psych1,issn,1354-6783
thinking & reasoning,"PSYCHOLOGY, EXPERIMENTAL",347,psych1,e_issn,1464-0708
perspectives on behavior science,"PSYCHOLOGY, CLINICAL",348,psych1,issn,2520-8969
perspectives on behavior science,"PSYCHOLOGY, CLINICAL",348,psych1,e_issn,2520-8977
journal of clinical psychology,"PSYCHOLOGY, CLINICAL",349,psych1,issn,0021-9762
journal of clinical psychology,"PSYCHOLOGY, CLINICAL",349,psych1,e_issn,1097-4679
international journal of psychophysiology,PSYCHOLOGY,350,psych1,issn,0167-8760
international journal of psychophysiology,PSYCHOLOGY,350,psych1,e_issn,1872-7697
archives of suicide research,"PSYCHOLOGY, MULTIDISCIPLINARY",353,psych1,issn,1381-1118
archives of suicide research,"PSYCHOLOGY, MULTIDISCIPLINARY",353,psych1,e_issn,1543-6136
basic and applied social psychology,"PSYCHOLOGY, SOCIAL",354,psych1,issn,0197-3533
basic and applied social psychology,"PSYCHOLOGY, SOCIAL",354,psych1,e_issn,1532-4834
law and human behavior,"PSYCHOLOGY, SOCIAL",355,psych1,issn,0147-7307
law and human behavior,"PSYCHOLOGY, SOCIAL",355,psych1,e_issn,1573-661X
psychology of violence,"PSYCHOLOGY, CLINICAL",356,psych1,issn,2152-0828
psychology of violence,"PSYCHOLOGY, CLINICAL",356,psych1,e_issn,2152-081X
international journal of intercultural relations,"PSYCHOLOGY, SOCIAL",357,psych1,issn,0147-1767
international journal of intercultural relations,"PSYCHOLOGY, SOCIAL",357,psych1,e_issn,1873-7552
applied psycholinguistics,"PSYCHOLOGY, EXPERIMENTAL",358,psych1,issn,0142-7164
applied psycholinguistics,"PSYCHOLOGY, EXPERIMENTAL",358,psych1,e_issn,1469-1817
asian american journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",359,psych1,issn,1948-1985
asian american journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",359,psych1,e_issn,1948-1993
cyberpsychology-journal of psychosocial research on cyberspace,"PSYCHOLOGY, MULTIDISCIPLINARY",360,psych1,issn,1802-7962
cyberpsychology-journal of psychosocial research on cyberspace,"PSYCHOLOGY, MULTIDISCIPLINARY",360,psych1,e_issn,1802-7962
discourse & society,"PSYCHOLOGY, MULTIDISCIPLINARY",361,psych1,issn,0957-9265
discourse & society,"PSYCHOLOGY, MULTIDISCIPLINARY",361,psych1,e_issn,1460-3624
journal of homosexuality,"PSYCHOLOGY, MULTIDISCIPLINARY",362,psych1,issn,0091-8369
journal of homosexuality,"PSYCHOLOGY, MULTIDISCIPLINARY",362,psych1,e_issn,1540-3602
international journal of behavioral development,"PSYCHOLOGY, DEVELOPMENTAL",363,psych1,issn,0165-0254
international journal of behavioral development,"PSYCHOLOGY, DEVELOPMENTAL",363,psych1,e_issn,1464-0651
journal of studies on alcohol and drugs,PSYCHOLOGY,364,psych1,issn,1937-1888
journal of studies on alcohol and drugs,PSYCHOLOGY,364,psych1,e_issn,1938-4114
journal of work and organizational psychology-revista de psicologia del trabajo y de las organizaciones,"PSYCHOLOGY, APPLIED",365,psych1,issn,1576-5962
journal of work and organizational psychology-revista de psicologia del trabajo y de las organizaciones,"PSYCHOLOGY, APPLIED",365,psych1,e_issn,2174-0534
physiology & behavior,"PSYCHOLOGY, BIOLOGICAL",366,psych1,issn,0031-9384
physiology & behavior,"PSYCHOLOGY, BIOLOGICAL",366,psych1,e_issn,1873-507X
journal of cross-cultural psychology,"PSYCHOLOGY, SOCIAL",367,psych1,issn,0022-0221
journal of cross-cultural psychology,"PSYCHOLOGY, SOCIAL",367,psych1,e_issn,1552-5422
experimental and clinical psychopharmacology,"PSYCHOLOGY, BIOLOGICAL",368,psych1,issn,1064-1297
experimental and clinical psychopharmacology,"PSYCHOLOGY, BIOLOGICAL",368,psych1,e_issn,1936-2293
journal of gambling studies,"PSYCHOLOGY, MULTIDISCIPLINARY",370,psych1,issn,1050-5350
journal of gambling studies,"PSYCHOLOGY, MULTIDISCIPLINARY",370,psych1,e_issn,1573-3602
psychology & health,"PSYCHOLOGY, MULTIDISCIPLINARY",371,psych1,issn,0887-0446
psychology & health,"PSYCHOLOGY, MULTIDISCIPLINARY",371,psych1,e_issn,1476-8321
health psychology and behavioral medicine,"PSYCHOLOGY, CLINICAL",372,psych1,issn,2164-2850
health psychology and behavioral medicine,"PSYCHOLOGY, CLINICAL",372,psych1,e_issn,2164-2850
journal of traumatic stress,"PSYCHOLOGY, CLINICAL",373,psych1,issn,0894-9867
journal of traumatic stress,"PSYCHOLOGY, CLINICAL",373,psych1,e_issn,1573-6598
eating behaviors,"PSYCHOLOGY, CLINICAL",374,psych1,issn,1471-0153
eating behaviors,"PSYCHOLOGY, CLINICAL",374,psych1,e_issn,1873-7358
psychology & sexuality,"PSYCHOLOGY, MULTIDISCIPLINARY",375,psych1,issn,1941-9899
psychology & sexuality,"PSYCHOLOGY, MULTIDISCIPLINARY",375,psych1,e_issn,1941-9902
revista iberoamericana de psicologia y salud,"PSYCHOLOGY, MULTIDISCIPLINARY",376,psych1,issn,2171-2069
revista iberoamericana de psicologia y salud,"PSYCHOLOGY, MULTIDISCIPLINARY",376,psych1,e_issn,1989-9246
frontiers in human neuroscience,PSYCHOLOGY,377,psych1,issn,1662-5161
frontiers in human neuroscience,PSYCHOLOGY,377,psych1,e_issn,1662-5161
i-perception,"PSYCHOLOGY, EXPERIMENTAL",378,psych1,issn,2041-6695
i-perception,"PSYCHOLOGY, EXPERIMENTAL",378,psych1,e_issn,2041-6695
psychology public policy and law,"PSYCHOLOGY, MULTIDISCIPLINARY",379,psych1,issn,1076-8971
psychology public policy and law,"PSYCHOLOGY, MULTIDISCIPLINARY",379,psych1,e_issn,1939-1528
neuropsychobiology,PSYCHOLOGY,380,psych1,issn,0302-282X
neuropsychobiology,PSYCHOLOGY,380,psych1,e_issn,1423-0224
cognition and instruction,"PSYCHOLOGY, EDUCATIONAL",381,psych1,issn,0737-0008
cognition and instruction,"PSYCHOLOGY, EDUCATIONAL",381,psych1,e_issn,1532-690X
american journal of psychotherapy,"PSYCHOLOGY, CLINICAL",383,psych1,issn,0002-9564
american journal of psychotherapy,"PSYCHOLOGY, CLINICAL",383,psych1,e_issn,2575-6559
journal of school violence,"PSYCHOLOGY, DEVELOPMENTAL",384,psych1,issn,1538-8220
journal of school violence,"PSYCHOLOGY, DEVELOPMENTAL",384,psych1,e_issn,1538-8239
journal of family psychology,"PSYCHOLOGY, CLINICAL",386,psych1,issn,0893-3200
journal of family psychology,"PSYCHOLOGY, CLINICAL",386,psych1,e_issn,1939-1293
journal of social and personal relationships,"PSYCHOLOGY, SOCIAL",387,psych1,issn,0265-4075
journal of social and personal relationships,"PSYCHOLOGY, SOCIAL",387,psych1,e_issn,1460-3608
mental health and physical activity,"PSYCHOLOGY, CLINICAL",388,psych1,issn,1755-2966
mental health and physical activity,"PSYCHOLOGY, CLINICAL",388,psych1,e_issn,1878-0199
international journal of art therapy,"PSYCHOLOGY, CLINICAL",389,psych1,issn,1745-4832
international journal of art therapy,"PSYCHOLOGY, CLINICAL",389,psych1,e_issn,1745-4840
child psychiatry & human development,"PSYCHOLOGY, DEVELOPMENTAL",390,psych1,issn,0009-398X
child psychiatry & human development,"PSYCHOLOGY, DEVELOPMENTAL",390,psych1,e_issn,1573-3327
anxiety stress and coping,"PSYCHOLOGY, MULTIDISCIPLINARY",391,psych1,issn,1061-5806
anxiety stress and coping,"PSYCHOLOGY, MULTIDISCIPLINARY",391,psych1,e_issn,1477-2205
traumatology,"PSYCHOLOGY, CLINICAL",392,psych1,e_issn,1085-9373
international journal of sport and exercise psychology,"PSYCHOLOGY, APPLIED",394,psych1,issn,1612-197X
