journal_name,category,rank,source,issn_type,issn
journal of personality and social psychology,"PSYCHOLOGY, SOCIAL",46,psych1,e_issn,1939-1315
journal of health and social behavior,"PSYCHOLOGY, SOCIAL",48,psych1,issn,0022-1465
journal of health and social behavior,"PSYCHOLOGY, SOCIAL",48,psych1,e_issn,2150-6000
current opinion in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",49,psych1,issn,2352-250X
current opinion in psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",49,psych1,e_issn,2352-2518
journal of organizational behavior,"PSYCHOLOGY, APPLIED",50,psych1,issn,0894-3796
journal of organizational behavior,"PSYCHOLOGY, APPLIED",50,psych1,e_issn,1099-1379
journal of environmental psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",51,psych1,issn,0272-4944
journal of environmental psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",51,psych1,e_issn,1522-9610
european child & adolescent psychiatry,"PSYCHOLOGY, DEVELOPMENTAL",52,psych1,issn,1018-8827
european child & adolescent psychiatry,"PSYCHOLOGY, DEVELOPMENTAL",52,psych1,e_issn,1435-165X
human resource management,"PSYCHOLOGY, APPLIED",53,psych1,issn,0090-4848
human resource management,"PSYCHOLOGY, APPLIED",53,psych1,e_issn,1099-050X
psychological medicine,PSYCHOLOGY,54,psych1,issn,0033-2917
psychological medicine,PSYCHOLOGY,54,psych1,e_issn,1469-8978
journal of occupational health psychology,"PSYCHOLOGY, APPLIED",56,psych1,issn,1076-8998
journal of occupational health psychology,"PSYCHOLOGY, APPLIED",56,psych1,e_issn,1939-1307
journal of educational psychology,"PSYCHOLOGY, EDUCATIONAL",58,psych1,issn,0022-0663
journal of educational psychology,"PSYCHOLOGY, EDUCATIONAL",58,psych1,e_issn,1939-2176
work and stress,"PSYCHOLOGY, APPLIED",59,psych1,issn,0267-8373
work and stress,"PSYCHOLOGY, APPLIED",59,psych1,e_issn,1464-5335
journal of adolescent health,"PSYCHOLOGY, DEVELOPMENTAL",60,psych1,issn,1054-139X
journal of adolescent health,"PSYCHOLOGY, DEVELOPMENTAL",60,psych1,e_issn,1879-1972
international journal of clinical and health psychology,"PSYCHOLOGY, CLINICAL",63,psych1,issn,1697-2600
international journal of clinical and health psychology,"PSYCHOLOGY, CLINICAL",63,psych1,e_issn,1576-7329
autism research,"PSYCHOLOGY, DEVELOPMENTAL",64,psych1,issn,1939-3792
autism research,"PSYCHOLOGY, DEVELOPMENTAL",64,psych1,e_issn,1939-3806
international journal of human-computer studies,"PSYCHOLOGY, MULTIDISCIPLINARY",65,psych1,issn,1071-5819
international journal of human-computer studies,"PSYCHOLOGY, MULTIDISCIPLINARY",65,psych1,e_issn,1095-9300
multivariate behavioral research,"PSYCHOLOGY, EXPERIMENTAL",66,psych1,issn,0027-3171
multivariate behavioral research,"PSYCHOLOGY, EXPERIMENTAL",66,psych1,e_issn,1532-7906
journal of vocational behavior,"PSYCHOLOGY, APPLIED",67,psych1,issn,0001-8791
journal of vocational behavior,"PSYCHOLOGY, APPLIED",67,psych1,e_issn,1095-9084
body image,"PSYCHOLOGY, CLINICAL",68,psych1,issn,1740-1445
body image,"PSYCHOLOGY, CLINICAL",68,psych1,e_issn,1873-6807
autism,"PSYCHOLOGY, DEVELOPMENTAL",70,psych1,issn,1362-3613
autism,"PSYCHOLOGY, DEVELOPMENTAL",70,psych1,e_issn,1461-7005
environment and behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",71,psych1,issn,0013-9165
environment and behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",71,psych1,e_issn,1552-390X
child development perspectives,"PSYCHOLOGY, DEVELOPMENTAL",74,psych1,issn,1750-8592
child development perspectives,"PSYCHOLOGY, DEVELOPMENTAL",74,psych1,e_issn,1750-8606
behavioural public policy,"PSYCHOLOGY, APPLIED",75,psych1,issn,2398-063X
behavioural public policy,"PSYCHOLOGY, APPLIED",75,psych1,e_issn,2398-0648
asian journal of social health and behavior,"PSYCHOLOGY, MULTIDISCIPLINARY",77,psych1,e_issn,2772-4204
computers in human behavior reports,"PSYCHOLOGY, EXPERIMENTAL",79,psych1,issn,2451-9588
computers in human behavior reports,"PSYCHOLOGY, EXPERIMENTAL",79,psych1,e_issn,2451-9588
current opinion in behavioral sciences,"PSYCHOLOGY, EXPERIMENTAL",81,psych1,issn,2352-1546
current opinion in behavioral sciences,"PSYCHOLOGY, EXPERIMENTAL",81,psych1,e_issn,2352-1554
journal of occupational and organizational psychology,"PSYCHOLOGY, APPLIED",82,psych1,issn,0963-1798
journal of occupational and organizational psychology,"PSYCHOLOGY, APPLIED",82,psych1,e_issn,2044-8325
psychological science,"PSYCHOLOGY, MULTIDISCIPLINARY",83,psych1,issn,0956-7976
psychological science,"PSYCHOLOGY, MULTIDISCIPLINARY",83,psych1,e_issn,1467-9280
journal of anxiety disorders,"PSYCHOLOGY, CLINICAL",84,psych1,issn,0887-6185
journal of anxiety disorders,"PSYCHOLOGY, CLINICAL",84,psych1,e_issn,1873-7897
journals of gerontology series b-psychological sciences and social sciences,PSYCHOLOGY,85,psych1,issn,1079-5014
journals of gerontology series b-psychological sciences and social sciences,PSYCHOLOGY,85,psych1,e_issn,1758-5368
